Protocol,Seed,nNodes,nFlows,MaxPaths,InitEnergy_J,PktInterval_s,PDR,Throughput_kbps,Delay_ms,Jitter_ms,TxPkts,RxPkts,CtrlBytes,NRL,EnergyConsumed_J,EnergyPerPkt_J,LiveNodes,SweepParam
QS2MAODV,8,20,19,3,50.000000,0.100000,0.611798,25.749474,129.737187,42.058359,37022,22650,727600,5.948819,727.091984,0.032101,20,0.99
QS2MAODV,6,20,19,3,50.000000,0.100000,0.385717,16.234105,214.901770,103.952025,37022,14280,3012026,39.060406,735.735254,0.051522,20,0.99
QS2MAODV,7,20,19,3,50.000000,0.100000,0.240668,10.129263,361.470229,165.968383,37022,8910,2770210,57.575965,743.466667,0.083442,20,0.99
QS2MAODV,10,20,19,3,50.000000,0.100000,0.272352,11.462779,141.174307,79.624087,37022,10083,1719568,31.581724,746.360833,0.074022,20,0.99
QS2MAODV,9,20,19,3,50.000000,0.100000,0.456999,19.234232,86.365720,44.718989,37022,16919,2085402,22.825554,737.779390,0.043607,20,0.99
QS2MAODV,11,20,19,3,50.000000,0.100000,0.205391,8.644547,352.550505,153.089297,37022,7604,2923510,71.198151,743.214532,0.097740,20,0.99
QS2MAODV,13,20,19,3,50.000000,0.100000,0.331830,15.609176,111.075772,64.117430,37022,12285,2269478,34.210314,728.934606,0.059335,20,0.99
QS2MAODV,12,20,19,3,50.000000,0.100000,0.312004,13.131663,286.331575,136.219582,37022,11551,3668468,58.812737,745.102767,0.064505,20,0.99
QS2MAODV,14,20,19,3,50.000000,0.100000,0.570337,24.004421,145.674024,54.948988,37022,21115,1435894,12.593242,738.104599,0.034956,20,0.99
QS2MAODV,15,20,19,3,50.000000,0.100000,0.406731,17.118568,57.729161,38.038744,37022,15058,905490,11.135830,733.176453,0.048690,20,0.99
QS2MAODV,17,20,19,3,50.000000,0.100000,0.405408,17.062863,179.290676,104.697537,37022,15009,1952396,24.089201,744.827903,0.049625,20,0.99
QS2MAODV,18,20,19,3,50.000000,0.100000,0.442034,18.604421,126.463566,52.894555,37022,16365,2228540,25.218001,744.580690,0.045498,20,0.99
QS2MAODV,16,20,19,3,50.000000,0.100000,0.302118,12.715579,140.205313,70.342930,37022,11185,3154608,52.229474,737.269818,0.065916,20,0.99
QS2MAODV,20,20,19,3,50.000000,0.100000,0.312085,13.135074,213.956650,94.017905,37022,11554,2413026,38.675495,734.725621,0.063591,20,0.99
QS2MAODV,19,20,19,3,50.000000,0.100000,0.333856,14.051368,154.758645,95.984119,37022,12360,2848230,42.673948,732.442638,0.059259,20,0.99
QS2MAODV,21,20,19,3,50.000000,0.100000,0.269975,11.362737,118.518879,67.432104,37022,9995,3285868,60.879847,737.032072,0.073740,20,0.99
QS2MAODV,23,20,19,3,50.000000,0.100000,0.228486,9.616547,142.117767,88.864046,37022,8459,2728102,59.723853,733.212301,0.086678,20,0.99
QS2MAODV,24,20,19,3,50.000000,0.100000,0.559748,23.558779,67.381886,38.663193,37022,20723,1430014,12.778913,732.783289,0.035361,20,0.99
QS2MAODV,22,20,19,3,50.000000,0.100000,0.167738,7.059789,413.901218,206.294228,37022,6210,3464094,103.300948,737.364315,0.118738,20,0.99
QS2MAODV,25,20,19,3,50.000000,0.100000,0.360948,15.191621,123.615029,55.137706,37022,13363,2347386,32.530204,736.212795,0.055093,20,0.99
QS2MAODV,26,20,19,3,50.000000,0.100000,0.306845,12.914526,255.941605,129.091615,37022,11360,3005478,48.993838,746.156792,0.065683,20,0.99
QS2MAODV,27,20,19,3,50.000000,0.100000,0.340581,14.334442,164.372234,71.656420,37022,12609,3062654,44.980423,744.196292,0.059021,20,0.99
QS2MAODV,29,20,19,3,50.000000,0.100000,0.483091,20.332421,50.839480,26.840567,37022,17885,758720,7.855952,729.857270,0.040808,20,0.99
QS2MAODV,28,20,19,3,50.000000,0.100000,0.224947,9.467621,313.452680,136.599865,37022,8328,3171606,70.525270,745.078263,0.089467,20,0.99
QS2MAODV,30,20,19,3,50.000000,0.100000,0.336233,14.151411,266.040769,118.828025,37022,12448,3326066,49.480892,738.343239,0.059314,20,0.99
QMAODV,2,20,19,3,50.000000,0.100000,0.150262,6.324253,486.954958,326.177820,37022,5563,1583000,52.696054,742.536114,0.133478,20,0.92
QMAODV,1,20,19,3,50.000000,0.100000,0.295986,12.457516,434.061812,170.828669,37022,10958,3035876,51.304915,744.417347,0.067934,20,0.92
QMAODV,5,20,19,3,50.000000,0.100000,0.422965,17.801811,117.073893,53.437470,37022,15659,1170298,13.840082,725.957984,0.046360,20,0.92
QMAODV,3,20,19,3,50.000000,0.100000,0.203555,8.567242,404.314020,152.147323,37022,7536,2698636,66.314677,731.929635,0.097124,20,0.92
QMAODV,4,20,19,3,50.000000,0.100000,0.320323,13.481811,280.766425,130.814883,37022,11859,2770716,43.266342,733.399254,0.061843,20,0.92
QMAODV,6,20,19,3,50.000000,0.100000,0.349900,14.726653,255.862075,100.913581,37022,12954,2117478,30.270616,734.476383,0.056699,20,0.92
QMAODV,7,20,19,3,50.000000,0.100000,0.304900,12.832674,426.103899,186.689926,37022,11288,2398656,39.351130,742.951078,0.065818,20,0.92
QMAODV,8,20,19,3,50.000000,0.100000,0.570634,24.016926,269.341076,56.062358,37022,21126,853912,7.485177,727.038370,0.034414,20,0.92
QMAODV,10,20,19,3,50.000000,0.100000,0.240073,10.104253,252.240363,95.267356,37022,8888,1782564,37.140464,745.299706,0.083855,20,0.92
QMAODV,11,20,19,3,50.000000,0.100000,0.252255,10.616968,352.843632,136.926489,37022,9339,2401328,47.616487,743.302396,0.079591,20,0.92
QMAODV,9,20,19,3,50.000000,0.100000,0.295527,12.438189,351.925969,143.745218,37022,10941,3265222,55.266497,745.790024,0.068165,20,0.92
QMAODV,12,20,19,3,50.000000,0.100000,0.328669,13.833095,197.551609,103.278672,37022,12168,2768406,42.132460,744.664494,0.061199,20,0.92
QMAODV,13,20,19,3,50.000000,0.100000,0.237291,9.987158,340.140007,210.726904,37022,8785,2539494,53.531778,729.713247,0.083064,20,0.92
QMAODV,14,20,19,3,50.000000,0.100000,0.464156,19.535495,158.499188,77.423032,37022,17184,1888470,20.351296,741.553282,0.043154,20,0.92
QMAODV,16,20,19,3,50.000000,0.100000,0.331560,13.954737,148.817982,32.380217,37022,12275,1830454,27.614905,736.621375,0.060010,20,0.92
QMAODV,15,20,19,3,50.000000,0.100000,0.359219,15.118863,361.184547,134.364386,37022,13299,2971062,41.371281,737.341001,0.055443,20,0.92
QMAODV,17,20,19,3,50.000000,0.100000,0.363838,15.313263,288.548535,117.289586,37022,13470,2616734,35.974786,743.222992,0.055176,20,0.92
QMAODV,18,20,19,3,50.000000,0.100000,0.457782,19.267200,161.262524,81.789786,37022,16948,1329838,14.530700,745.199721,0.043970,20,0.92
QMAODV,19,20,19,3,50.000000,0.100000,0.358733,15.937200,152.571403,76.514099,37022,13281,1679876,23.423549,730.155040,0.054977,20,0.92
QMAODV,20,20,19,3,50.000000,0.100000,0.285506,12.016421,312.803645,134.315523,37022,10570,1988552,34.839202,740.896357,0.070094,20,0.92
QMAODV,21,20,19,3,50.000000,0.100000,0.191265,8.049979,306.188583,164.195351,37022,7081,3498314,91.489327,744.309337,0.105114,20,0.92
QMAODV,23,20,19,3,50.000000,0.100000,0.368349,15.503116,66.079298,38.130736,37022,13637,1590564,21.599244,739.662809,0.054239,20,0.92
